;PROBEID;logFC;AveExpr;t;P.Value;adj.P.Val;B;Gene.symbol;Gene.title
2447;A_23_P130677;170.900.357.777.778;447.533.316.666.667;135.176.029.657.985;8,31E+03;3,41E+08;143.810.945.628.252;ANGPTL8;angiopoietin like 8
26225;A_24_P393548;124.355.326.666.667;268.834.048.888.889;126.528.280.904.018;2,43E+03;4,99E+08;134.687.299.510.331;;
2957;A_23_P137007;-150.603.752.222.222;279.742.831.666.667;-114.159.754.649.095;1,25E+05;1,00E+09;120.352.774.830.068;MAGEA10;MAGE family member A10
6773;A_23_P209700;127.448.181.111.111;299.756.673.888.889;111.018.006.538.497;1,95E+05;1,00E+09;116.449.807.584.376;NMUR1;neuromedin U receptor 1
10501;A_23_P33914;-196.140.108.888.889;32.910.588;-115.470.468.962.013;1,05E+05;1,00E+09;121.948.513.125.162;NUP62CL;nucleoporin 62 C-terminal like
25460;A_24_P363711;172.378.588.888.889;280.610.921.111.111;111.632.271.619.341;1,79E+05;1,00E+09;117.221.676.856.862;DEFA6;defensin alpha 6
35519;A_32_P160896;-135.891.331.111.111;47.209.766;-11.099.476.742.482;1,95E+05;1,00E+09;116.420.521.315.498;FTMT;ferritin mitochondrial
36065;A_32_P179138;-177.952.255.555.556;319.076.464.444.444;-114.998.895.486.752;1,12E+05;1,00E+09;121.376.570.125.171;GUCY1A3;guanylate cyclase 1 soluble subunit alpha
7186;A_23_P214300;-231.501.724.444.444;341.172.872.222.222;-108.190.713.788.649;2,91E+05;1,33E+09;112.841.007.166.309;GSTA2;glutathione S-transferase alpha 2
26477;A_24_P402855;176.582.347.777.778;305.508.475;107.476.808.269.225;3,23E+05;1,33E+09;111.914.987.925.811;OPRPN;opiorphin prepropeptide
13045;A_23_P40734;-161.650.168.888.889;361.758.413.333.333;-106.753.654.532.097;3,59E+05;1,34E+09;11.097.081.098.881;ACR;acrosin
15844;A_23_P63057;-246.972.962.222.222;359.582.755.555.556;-105.801.485.477.735;4,12E+05;1,39E+09;109.718.090.101.414;GON4L;gon-4 like
28339;A_24_P59882;152.538.868.888.889;380.942.881.111.111;105.338.355.741.932;4,41E+04;1,39E+09;109.104.829.001.296;NRP2;neuropilin 2
21472;A_24_P206343;223.835.724.444.444;405.980.518.888.889;102.308.138.802.728;6,92E+05;2,03E+09;105.027.683.332.477;MYO1G;myosin IG
35031;A_32_P146326;-125.090.587.777.778;376.098.963.888.889;-101.211.802.506.708;8,17E+04;2,13E+09;103.524.533.752.013;;
39380;A_32_P55450;178.734.331.111.111;306.871.536.666.667;101.115.102.099.424;8,29E+05;2,13E+09;103.391.226.594.667;LINC01095;long intergenic non-protein coding RNA 1095
11173;A_23_P356694;17.692.812;488.105.324.444.444;975.945.488.881.475;1,42E+05;3,44E+09;984.567.785.370.563;DEFB123;defensin beta 123
15;(+)eQC-42;-11.377.242;287.601.518.888.889;-961.872.671.621.711;1,77E+06;3,61E+09;964.394.337.229.576;;
21190;A_24_P195785;-141.437.455.555.556;364.392.651.111.111;-954.677.533.725.705;1,98E+06;3,61E+09;953.979.344.320.377;COL4A5;collagen type IV alpha 5 chain
23532;A_24_P289208;192.150.068.888.889;41.859.331;960.488.003.680.714;1,81E+06;3,61E+09;962.395.344.645.563;TFF3;trefoil factor 3
24890;A_24_P341370;0.604084433333334;509.252.303.888.889;956.286.620.037.934;1,93E+06;3,61E+09;95.631.445.462.666;PPP2R5C;protein phosphatase 2 regulatory subunit B'gamma
30725;A_24_P872967;121.910.264.444.444;420.852.758.888.889;950.817.604.299.155;2,11E+06;3,61E+09;948.363.783.110.277;;
31782;A_24_P921850;-147.621.661.111.111;306.741.133.888.889;-950.904.127.049.672;2,10E+06;3,61E+09;948.489.876.646.682;;
32779;A_24_P935417;155.949.062.222.222;298.651.596.666.667;967.303.925.772.073;1,63E+06;3,61E+09;972.210.844.469.523;;
30996;A_24_P910246;159.657.625.555.556;348.613.036.111.111;948.195.055.107.867;2,20E+06;3,61E+09;944.537.087.767.911;;
13219;A_23_P411947;108.115.661.111.111;258.933.257.222.222;94.069.855.055.492;2,47E+05;3,91E+08;933.547.848.273.975;TEDDM1;transmembrane epididymal protein 1
17085;A_23_P78504;-165.361.547.777.778;294.951.377.222.222;-928.261.511.116.968;3,02E+06;4,54E+08;915.149.417.577.558;USP29;ubiquitin specific peptidase 29
22713;A_24_P254833;180.008.706.666.667;302.072.162.222.222;926.725.169.653.969;3,10E+06;4,54E+08;912.862.138.245.523;;
29630;A_24_P74897;182.004.555.555.556;30.644.825;906.172.631.093.433;4,32E+06;6,05E+09;881.953.662.916.388;;
31755;A_24_P921502;108.940.844.444.445;272.196.346.666.667;904.801.874.209.532;4,42E+06;6,05E+09;879.871.550.060.052;;
20144;A_24_P154868;138.241.552.222.222;449.814.156.111.111;895.189.949.784.779;5,17E+06;6,74E+08;865.198.310.620.708;MEP1A;meprin A subunit alpha
29930;A_24_P77826;-179.072.604.444.445;337.037.282.222.222;-893.621.540.819.892;5,31E+06;6,74E+08;86.279.183.254.281;;
30484;A_24_P844470;-0.85169116666667;527.106.999.444.444;-892.459.759.330.337;5,41E+06;6,74E+08;861.007.047.292.557;;
22260;A_24_P238016;-0.941656811111111;573.849.979.444.444;-881.759.131.963.116;6,46E+06;7,58E+09;84.447.934.574.766;;
27956;A_24_P557019;0.868199855555555;610.301.237.222.222;882.247.661.148.539;6,41E+06;7,58E+09;845.237.408.693.948;;
19421;A_24_P126210;1.892.098;352.608.606.666.667;879.112.883.925.938;6,75E+06;7,62E+09;840.367.252.669.327;MRAP;melanocortin 2 receptor accessory protein
30101;A_24_P799680;1.602.592;369.607.117.777.778;87.809.757.836.593;6,87E+06;7,62E+09;838.786.913.917.908;;
10961;A_23_P351328;209.260.507.777.778;463.618.917.222.222;870.167.979.224.371;7,84E+06;8,48E+09;826.394.212.719.391;PRR30;proline rich 30
15456;A_23_P58108;168.851.985.555.556;483.352.838.333.333;86.433.245.189.776;8,65E+06;8,67E+09;817.217.209.944.984;HGFAC;HGF activator
15868;A_23_P6335;11.275.054;419.183.982.222.222;865.190.246.741.943;8,52E+06;8,67E+09;818.569.225.027.508;SERPIND1;serpin family D member 1
21718;A_24_P216453;159.064.254.444.444;308.744.698.333.333;866.550.073.666.149;8,33E+06;8,67E+09;820.710.370.776.458;SCAMPER;sphingolipid Ca2+ release mediating protein of endoplasmic reticulum
22261;A_24_P238021;-174.067.658.888.889;321.755.530.555.556;-857.734.160.046.858;9,67E+06;9,46E+09;806.782.181.376.828;;
12076;A_23_P381172;182.652.721.111.111;359.065.169.444.444;854.627.161.006.336;1,02E+07;9,74E+09;801.846.966.710.197;MRAP;melanocortin 2 receptor accessory protein
34045;A_32_P115796;0.488158688888888;607.391.448.888.889;852.650.389.215.107;1,05E+07;9,84E+09;798.699.816.683.203;GRIK2;glutamate ionotropic receptor kainate type subunit 2
28221;A_24_P58673;15.443.831;330.986.277.222.222;84.733.339.262.151;1,15E+07;0.000105332856255053;790.206.926.595.777;REG4;regenerating family member 4
10913;A_23_P350396;14.940.685;449.917.079.444.444;84.385.985.677.324;1,22E+07;0.000107015429784965;784.636.609.122.121;CDSN;corneodesmosin
30945;A_24_P901778;1.585.399;501.309.425.555.556;844.081.601.540.159;1,22E+07;0.000107015429784965;784.992.729.546.044;;
34599;A_32_P132883;-157.835.411.111.111;306.165.965.555.556;-840.803.936.043.827;1,29E+07;0.00011041488940192;779.721.582.042.018;;
13944;A_23_P43107;133.353.615.555.555;298.903.142.222.222;821.701.742.519.265;1,79E+07;0.000129304029792484;748.690.942.093.941;DCSTAMP;dendrocyte expressed seven transmembrane protein
18181;A_23_P92650;-171.075.256.666.667;295.145.389.444.444;-822.528.858.761.176;1,77E+06;0.000129304029792484;750.045.578.149.769;SLC25A2;solute carrier family 25 member 2
